uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
0,4.462125918933556,0.535407855977244,0.6643472880008772,85.97794526027575,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,2
1,2.0652873140827372,0.4851023030146013,0.47874569509906306,96.23399847908979,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,5
2,3.131799616917873,0.3787246079446026,0.4568245774252464,98.20015950719578,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,1
3,2.628480599663903,0.6674718881055589,0.42862284555693375,101.433772947308,"[7, 10, 12, 18, 23, 25, 28, 29]",car,4,3
4,2.7765321079297154,0.5029902430366343,0.4999609393389653,91.34353030457575,"[3, 14, 16, 20, 23, 24, 26, 28]",car,6,2
5,2.704061805297041,0.5779422920819539,0.43365767850299375,91.97752057666258,"[0, 3, 4, 6, 9, 11, 13, 14, 15, 16, 17, 18, 20, 21, 23, 26, 29, 30]",bus,2,5
6,1.5971541961360347,0.41552893816782666,0.5342593882152243,83.1538959750406,"[1, 5, 6, 9, 11, 13, 14, 16, 17, 18, 23, 25, 27, 28, 29, 30]",bus,4,5
7,3.595842982487336,0.6850473524582037,0.425913756035631,87.52921006426554,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 20, 21, 22, 24, 25, 26]",bus,2,4
8,2.888006775166053,0.6715903703112718,0.554556129761316,94.5667211985873,"[1, 3, 15]",bus,2,5
9,3.9429523165907687,0.6160065485919088,0.6431436868151643,100.38124927317901,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,4
10,3.0178809283383834,0.47011636638563614,0.6572739809260794,97.49488007646703,"[8, 11]",car,6,5
11,1.5823194753945367,0.39121704436552873,0.37040689712663305,96.33932017452635,"[0, 1, 2, 4, 7, 8, 10, 11, 12, 13, 18, 19, 22, 24, 27, 28, 29, 30]",car,2,2
12,3.8048291156308975,0.5005897883471877,0.5712151646223608,109.07609227349069,"[1, 4, 5, 8, 9, 11, 12, 13, 14, 16, 18, 20, 21, 22, 23, 26, 27, 28]",car,4,5
13,3.7215405610728984,0.5390446550152586,0.743142854126083,99.09126325085825,"[0, 1, 2, 3, 9, 11, 14, 16, 18, 19, 21, 25, 26, 27]",bus,2,3
14,1.8179517071764044,0.7794917330403676,0.33219955151268366,104.39931000016459,"[16, 12, 15]",bus,2,3
15,3.4134130935717035,0.5875581725386264,0.4118859016296629,93.15977765082083,"[1, 3, 23, 9, 29]",bus,4,2
16,3.46505856945259,0.6050754035403393,0.5895673213560544,102.79535987857973,"[1, 2, 4, 6, 7, 13, 15, 18, 19, 20, 25, 26, 28, 30]",bus,6,1
17,3.0048429079573356,0.41441968939974816,0.5991615136215426,100.59901963053156,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",car,4,3
18,3.600850267596455,0.285211628233753,0.6428902190745671,92.83527681147022,"[3, 7, 10, 16, 17, 23, 24, 26, 27]",bus,2,1
19,2.3866265752286595,0.4292794722202302,0.5182560269954712,100.6863376237663,"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 30]",bus,6,1
20,3.180789986514936,0.5515579025389487,0.5268747767712151,107.47725285478795,"[29, 10, 19, 25, 26, 13, 15]",bus,4,1
21,2.5502441567005,0.5349776690295185,0.39251225123665956,104.70788082251968,"[1, 6, 9, 11, 15, 17, 21, 24, 26, 27, 28, 30]",bus,2,3
22,2.258595562681511,0.6656008992992107,0.5947182309251942,103.99007520904324,"[0, 2, 4, 5, 6, 10, 11, 12, 13, 18, 19, 20, 22, 23, 26, 27, 28, 29, 30]",bus,2,1
23,3.3639059235740594,0.3997222185133339,0.4970271204142934,97.08659425694124,"[0, 1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]",bus,6,5
24,3.623520362642739,0.4263044213585991,0.6743545342702454,98.49743277389432,"[0, 1, 3, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 25, 27, 28, 29, 30]",bus,2,4
25,3.01581607118219,0.6657357381524774,0.5230868886362494,110.42003499750632,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 29, 30]",bus,6,4
26,2.0030099024365313,0.37773455040453535,0.3482028968684707,107.31705829665597,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]",car,2,5
