uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
1,3.2658134591708374,0.42118471971328175,0.6551284446791179,102.61451899364187,"['1', '2']",car,6,3
2,2.9166143484876597,0.4358554672419882,0.293935301223544,105.11248020404716,"['0', '1']",bus,4,4
3,3.141626620564696,0.5808964866753824,0.7788883906239915,100.92974499338774,"['2', '1']",car,6,5
4,3.6365155159836138,0.7600834638388854,0.4795494939095334,92.31878054871922,"['1', '0']",bus,4,5
5,3.8375339340234085,0.40753653771520904,0.639518347480338,99.62235510842223,"['0', '1']",bus,4,2
6,3.615358934463109,0.6730139400974543,0.37854059812581375,97.34536963637237,"['2', '1']",bus,2,5
7,3.8577720878243724,0.6286204632138414,0.774982414114533,99.72494134744531,"['1', '2']",bus,2,4
8,2.0327630940952774,0.8162096778938599,0.64849335331787,113.60277158287693,['0'],bus,4,2
9,2.415556645937506,0.5196082584552235,0.4094847359862592,98.20875779574038,['0'],bus,4,1
10,3.0893035533948785,0.6572958881328618,0.5796655291100867,104.96093806768606,"['0', '1']",bus,4,3
11,3.4064550312578903,0.3853964382091559,0.5587129762951376,110.01882855289463,"['1', '2']",bus,6,4
12,3.2895954936335663,0.6033996784495439,0.18790930036327247,99.7856772012056,['1'],car,4,1
13,3.5602592037920764,0.32636083333368876,0.5577471362085206,107.37669662236942,"['2', '0']",bus,2,3
14,3.809735199254459,0.7309483991079051,0.5254076607193302,109.72019527854613,"['1', '0']",bus,2,4
15,3.4551107060532784,0.3835320765172505,0.5349411067480037,91.47950062479863,['2'],car,2,4
16,3.6670682543686306,0.636550917170958,0.631492491004878,100.22864242463402,"['1', '2']",bus,2,5
17,2.6292585591673503,0.6120307756318459,0.39466599571537364,100.63084284619339,['2'],bus,6,5
18,3.7893504640747713,0.336194810885636,0.3688453943563006,104.74379826052932,['0'],bus,2,3
19,3.491452813329023,0.7395174331419267,0.4449523520058216,101.46926372004961,"['0', '1']",car,4,4
20,3.0230225632984484,0.6372328222922008,0.37660147786370035,94.74137526405703,['1'],bus,6,4
