dataset,FCA,CRO,PSO,random,CPSO
300,4.709453052,3.23527952,2.788696098,4.764379646,2.59841061
600,4.926635044,4.674904962,4.140255402,4.93873513,3.106729984
900,5.062937593,4.830847,3.589263925,5.13548351,3.351946567
1200,6.134378347,4.825682269,3.625987964,4.194724484,3.320942455
1500,5.728868785,4.056651102,3.292855304,5.056119545,3.462524547
1800,5.330856651,4.81439509,4.696433697,5.015169086,4.099587131
2100,5.224022976,4.932655173,4.214428967,5.212937207,3.577448372
2400,5.686923197,5.018410531,4.377230535,5.318288593,4.13295114
2700,5.468313416,4.997812011,3.88944024,4.965881862,3.904036213
3000,5.764285431,4.254887819,4.009904535,5.386177071,3.703945774
